exam_year,exam_type,phase,institute_code,college_name,branch_code,branch_name,category,gender,opening_rank,closing_rank,location,district,college_type,affiliated_to
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_A,BOYS,114378,114378,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_A,GIRLS,114378,114378,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_B,BOYS,85042,85042,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_B,GIRLS,85042,85042,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_C,BOYS,68983,68983,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_C,GIRLS,68983,68983,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_D,BOYS,64293,64293,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_D,GIRLS,73672,73672,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_E,BOYS,124062,124062,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),BC_E,GIRLS,124062,124062,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC_I,BOYS,23500,23500,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC_I,GIRLS,23874,23874,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC_II,BOYS,137635,137635,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC_II,GIRLS,146095,146095,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC_III,BOYS,93866,93866,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),SC_III,GIRLS,93866,93866,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ST,BOYS,139967,139967,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),ST,GIRLS,148259,148259,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),EWS,BOYS,57355,57355,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),EWS,GIRLS,63565,63565,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,BOYS,34682,34682,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,OC,GIRLS,34682,34682,BANDLAGUDA,HYD,PVT,JNTUH
